,optimizing its delivery processes,implementing a new training program for sales staff,developing a new smart home system,improving the performance of a computer processor,experiencing a coup d'etat,experiencing a diplomatic row,announcing a new infrastructure project
AFP - Italian Prime Minister Silvio Berlusconi met Libyan leader Moamer Kadhafi for talks on how to stop illegal immigrants using the north African state as a springboard for entry into Italy.,no,no,no,no,no,no,no
Reuters - A top lawyer for President\Bush's re-election campaign resigned on Wednesday after\disclosing he has been providing legal advice to a group that\accuses Democratic presidential candidate John Kerry of lying\about his Vietnam War record.,yes,yes,yes,yes,yes,yes,yes
"ANCHORAGE, Alaska (Reuters) - A British man's attempt to  become the first person to row across the North Pacific Ocean  ended after his boat capsized, the U.S. Coast Guard said on  Wednesday.",no,no,no,no,no,no,no
"Boeing Co, the world #39;s second-biggest maker of commercial aircraft, won a \$3.6 billion order for 18 planes from Singapore Airlines Ltd.",no,no,no,no,no,no,no
"Steve Coll, The Washington Post #39;s managing editor for six years, said today he is stepping down at the end of the year to pursue book projects.",no,no,no,no,no,no,no
"The effect of Japan #39;s currency sales this year and last on the value of the yen are difficult to judge, #39; #39; Federal Reserve Chairman Alan Greenspan said.",no,no,no,no,no,no,no
Authorities raided five residences and and an Internet service provider Wednesday morning in the first federal criminal enforcement action against private peer-to-peer (P2P) (define) networks.,no,no,no,no,no,no,no
"Linux servers are on the rise again thanks in part to low-end and x86-64 based servers, according to a new survey by market research firm Gartner.",yes,yes,yes,yes,yes,yes,yes
"Shareholders of Computer Associates International, the software maker tarred by an accounting scandal, Wednesday defeated a proposal calling for current and former executives to return bonuses based on restated results.",no,no,no,no,yes,yes,no
"The Recording Industry Association of America (RIAA) launched its back-to-school, anti peer-to-peer (P2P) (define) campaign Tuesday with a national media briefing praising the efforts of a handful of colleges and universities to stop piracy.",no,no,no,no,no,no,no
Channel partners say the release of enterprise and SMB versions of Microsoft Operations Manager 2005 this week will boost Windows management but they #39;re not sure whether it will boost sales.,no,no,no,no,no,no,no
A Microsoft ad saying that Linux was 10 times more expensive than Windows has been found to be an unfair advert in the UK. The UK #39;s Advertising Standards Authority,no,no,no,no,no,no,no
"Microsoft this month is moving forward with the developer implementation of its anti-spam Sender ID framework, but open-source advocates and mail vendors doubt whether the software giant #39;s new proposed license meets open-source requirements.",no,no,no,no,yes,no,no
"Q: I hear weird sounds coming from my computer - for instance, a door opening and closing. Is this normal? I use America Online. A: These sounds are coming from your AOL Buddy List, letting you know when a buddy has logged in or logged off.",yes,yes,no,no,no,no,no
"To the roar of an adoring home crowd, Fani Halkia completed her unexpected romp through the Olympics on Wednesday with a victory in the women #39;s 400-meter hurdles.",yes,no,no,no,no,no,no
Champions Arsenal made history on Wednesday by trouncing Blackburn Rovers 3-0 at Highbury to set a 43-match unbeaten league record in English football.,no,no,no,no,no,no,no
